Date,hour,Temperature,KWH
10/12/2016,12,61,267.5293335
10/12/2016,13,62.1,269.0617707
10/12/2016,14,62.1,268.7046076
10/12/2016,15,61,265.7818384
10/12/2016,16,62.1,267.0033414
10/12/2016,17,60.1,261.8571946
10/12/2016,18,59,261.0461252
10/12/2016,19,57,121.4573461
10/12/2016,20,55.9,121.3222825
10/12/2016,21,54,115.36031
10/12/2016,22,53.1,110.7099107
10/12/2016,23,53.1,110.3527476
10/13/2016,0,52,115.1462261
10/13/2016,1,52,114.789063
10/13/2016,2,52,114.4318999
10/13/2016,3,54,118.8218793
10/13/2016,4,55,120.1832022
10/13/2016,5,55,119.8260391
10/13/2016,6,55,119.468876
10/13/2016,7,55.9,254.8802148
10/13/2016,8,57.9,258.390732
10/13/2016,9,63,266.8988416
10/13/2016,10,64.9,271.428641
10/13/2016,11,66.45,274.9940703
10/13/2016,12,69.1,278.6064932
10/13/2016,13,71.1,280.7887942
10/13/2016,14,71.1,280.2700159
10/13/2016,15,70,278.2923454
10/13/2016,16,69.1,276.6093127
10/13/2016,17,68,276.1633149
10/13/2016,18,64.9,269.2891831
10/13/2016,19,64,133.1216769
10/13/2016,20,63,131.536623
10/13/2016,21,61,128.4783805
10/13/2016,22,60.1,126.3047526
10/13/2016,23,57.9,123.1971701
10/14/2016,0,55,128.7369841
10/14/2016,1,52,125.599406
10/14/2016,2,50,122.2958659
10/14/2016,3,48.9,119.6421898
10/14/2016,4,48,118.8386192
10/14/2016,5,46.9,116.90279
10/14/2016,6,46,115.2197573
10/14/2016,7,46.9,250.6729373
10/14/2016,8,48,252.6122873
10/14/2016,9,50,254.7945882
10/14/2016,10,52,255.8521294
10/14/2016,11,55,259.2623213
10/14/2016,12,55.9,259.1899504
10/14/2016,13,57.9,260.2474916
10/14/2016,14,59,259.488568
10/14/2016,15,59,257.557891
10/14/2016,16,55,258.4519467
10/14/2016,17,53.1,255.4991819
10/14/2016,18,52,253.9284243
10/14/2016,19,52,118.4526231
10/14/2016,20,53.1,119.5781475
10/14/2016,21,52,118.5636216
10/14/2016,22,48.9,114.5370823
10/14/2016,23,48,111.9147004
